id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Starbucks
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b1,ASUO.SGES
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Courtyard
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LGBTQA3
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
80,422,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Craft
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MCC
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
81,425,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Courtyard
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Taylor
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
86,433,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Chipotle
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Craft
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b3,FreshMarket
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
87,438,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Chipotle
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b2,DuckNest
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
94,462,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Chipotle
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Mills
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
95,466,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b1,MCC
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Mills
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Redwood
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b1,DuckStore
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Taylor
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b1,DuckStore
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b3,WC
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Fishbowl
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b2,O
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other2
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Computer
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FallingSky
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Fishbowl
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b1,BallroomLobby
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Chipotle
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b3,DuckStore
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b1,CSI.RC
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b2,FallingSky
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Fishbowl
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b1,FallingSky
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Fishbowl
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Townshend
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b4,NA
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b5,NA
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b6,NA
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b1,ClubSports
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b2,OP
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b3,SouthAtrium
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b4,NA
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b5,NA
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b6,NA
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Courtyard
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Craft
