id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
178,696,NA,NA,1617,1718,us ug,Belong,Some Place,FallingSky,Other1,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,704,NA,NA,1617,1718,us ug,Belong,Some Place,Ballroom,Fishbowl,O,Other1,Other2,NA,NA,NA,NA,NA,NA,NA
184,717,NA,NA,1617,1718,us ug,Belong,Some Place,Stairs1,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,718,NA,NA,1617,1718,us ug,Belong,Some Place,FallingSky,FreshMarket,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,719,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,721,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,Fishbowl,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,725,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,730,NA,NA,1617,1718,us ug,Belong,Some Place,FallingSky,Fishbowl,Other1,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,743,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,FreshMarket,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,744,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,KWVA,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,745,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Other1,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,749,NA,NA,1617,1718,us ug,Belong,Some Place,FallingSky,Fishbowl,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,755,NA,NA,1617,1718,us ug,Belong,Some Place,LGBTQA3,MCC,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,756,NA,NA,1617,1718,us ug,Belong,Some Place,Other2,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,757,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,SouthAtrium,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,766,NA,NA,1617,1718,us ug,Belong,Some Place,Chipotle,DuckStore,Panda,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,767,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Mills,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,772,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,Fishbowl,Townshend,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,776,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,EastAtrium,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,779,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,MCC,OP,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,784,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Other2,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
