id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
60,365,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Condon
60,365,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LillisComplex
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
61,366,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b2,HEDCO
62,367,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
63,368,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
63,368,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
63,368,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
64,371,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Frohnmayer
65,374,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Jaqua
66,375,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LillisComplex
66,375,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MattKnight
66,375,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
67,378,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
67,378,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
67,378,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LLC
68,379,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Oregon
69,382,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Library
69,382,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
69,382,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
70,385,NA,NA,1516,1718,us ug,Belong,Some Place,b3,McKenzie
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
71,390,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
72,398,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
73,404,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Allen
73,404,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
73,404,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
74,407,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
74,407,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
74,407,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Chapman
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b2,EMU
75,411,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
76,418,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
76,418,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Lawrence
76,418,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
77,419,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
77,419,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Friendly
77,419,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Allen
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b2,EMU
78,420,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
79,421,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
79,421,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
79,421,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
